time	temperature	resistance
0	43.125	5222.995
1	43.5625	5116.2516
2	43.875	5038.551
3	44.1875	4983.541
4	44.5	4880.1132
5	44.875	4858.5244
6	45.25	4778.1076
7	45.5	4719.69
8	45.8125	4630.3056
9	46.0625	4562.686
10	46.375	4510.7724
11	46.625	4479.995
12	46.9375	4383.384
13	47.125	4333.0512
14	47.4375	4218.612
15	47.6875	4238.384
16	47.9375	4120.5736
17	48.1875	4091.4284
18	48.375	4086.5812
19	48.625	4062.4004
20	48.875	3985.5744
21	49.0625	3961.738
22	49.3125	3904.86132
24	49.5	3862.5056
25	49.6875	3815.748
26	49.9375	3792.486
27	50.0625	3760.0524
28	50.3125	3723.1712
29	50.5625	3700.2196
30	50.75	3659.1026
31	50.9375	3595.6258
32	51.25	3577.5998
33	51.4375	3505.96768
34	51.625	3523.80432
35	51.75	3505.96768
36	51.9375	3474.8644
37	52.125	3413.086
38	52.3125	3395.5416
39	52.4375	3373.67
40	52.5625	3360.5844
41	52.75	3347.521
42	52.875	3295.2612
44	53.0	3286.6368
45	53.1875	3256.5346
46	53.3125	3213.767
47	53.4375	3209.5068
48	53.5	3188.2408
49	53.8125	3171.277
50	53.875	3183.9958
51	54.0	3141.6952
52	54.125	3116.444
53	54.25	3091.2924
54	54.375	3082.9282
55	54.5	3037.121
56	54.5625	3020.544
57	54.6875	3032.9732
58	54.8125	2954.6532
59	54.9375	2987.5152
61	55.0	2917.8808
62	55.125	2942.3736
63	55.1875	2954.6532
64	55.3125	2889.4252
65	55.4375	2909.7388
66	55.625	2885.372
67	55.75	2820.8398
68	55.875	2869.1772
69	56.0	2840.9366
70	56.1875	2788.8162
71	56.3125	2824.8536
72	56.375	2792.8086
73	56.5	2812.8184
74	56.625	2792.8086
75	56.75	2752.9788
76	56.8125	2713.3936
78	56.9375	2733.1548
79	57.0	2721.2896
80	57.125	2697.6286
81	57.25	2701.565
82	57.3125	2697.6286
83	57.5	2666.2156
84	57.625	2658.388
85	57.75	2627.166
86	57.8125	2631.0624
87	57.9375	2607.7358
88	58.0625	2619.3858
89	58.125	2607.7358
90	58.25	2565.1896
91	58.375	2584.4926
92	58.4375	2603.8542
94	58.5625	2607.7358
95	58.625	2538.2632
96	58.75	2569.0456
97	58.8125	2557.483
98	58.9375	2557.483
99	59.0625	2534.4268
100	59.125	2553.6372
101	59.1875	2496.186
102	59.25	2480.9544
103	59.3125	2484.7596
104	59.375	2511.4538
105	59.4375	2500.0002
106	59.5	2477.1528
107	59.5625	2484.7596
108	59.625	2446.8224
109	59.6875	2443.0406
111	59.75	2454.3902
112	59.8125	2454.3902
113	59.8125	2439.2598
114	59.875	2473.3524
115	60.0	2454.3902
116	60.0625	2416.6356
117	60.125	2446.8224
118	60.1875	2394.0932
119	60.3125	2424.1676
120	60.375	2386.5954
121	60.4375	2379.108
122	60.5	2382.852
123	60.5	2352.974
124	60.5625	2409.1132
126	60.625	2352.974
127	60.6875	2364.162
128	60.6875	2379.108
129	60.75	2356.702
130	60.75	2371.6324
131	60.8125	2319.5364
132	60.875	2382.852
133	60.9375	2326.95
134	60.9375	2300.8054
135	61.0	2330.6634
136	61.0625	2326.95
137	61.125	2334.3736
138	61.1875	2319.5364
139	61.25	2304.5012
140	61.25	2282.3626
142	61.3125	2271.3236
143	61.375	2216.422
144	61.375	2297.1132
145	61.4375	2308.4296
146	61.5	2286.0464
147	61.5625	2267.6462
148	61.5625	2271.3236
149	61.6875	2245.641
150	61.75	2241.982
151	61.75	2245.641
152	61.8125	2231.0146
153	61.8125	2245.641
154	61.875	2234.6688
155	61.9375	2187.3436
157	61.9375	2205.502
158	62.0	2212.781
159	62.0625	2194.6
160	62.0625	2216.422
161	62.1875	2198.2324
162	62.25	2201.8662
163	62.25	2187.3436
164	62.3125	2169.2392
165	62.375	2165.624
166	62.375	2172.8562
167	62.4375	2158.4014
168	62.5	2129.5984
169	62.5625	2129.5984
170	62.625	2136.7856
172	62.625	2122.4168
173	62.6875	2143.981
174	62.75	2100.9292
175	62.8125	2126.0066
176	62.8125	2147.5828
177	62.9375	2108.0822
178	63.0	2122.4168
179	63.0	2129.5984
180	63.0625	2140.3814
181	63.125	2100.9292
182	63.125	2151.1864
183	63.1875	2093.7846
184	63.25	2122.4168
186	63.25	2097.356
187	63.3125	2093.7846
188	63.3125	2072.3952
189	63.375	2090.2134
190	63.4375	2054.6308
191	63.5	2086.6444
192	63.5	2072.3952
193	63.5625	2100.9292
194	63.5625	2122.4168
195	63.625	2065.2844
196	63.625	2068.8388
197	63.625	2093.7846
198	63.6875	2033.3816
200	63.6875	2043.99716
201	63.75	2100.9292
202	63.75	2065.2844
203	63.75	2043.99716
204	63.8125	2061.7304
205	63.8125	2058.1804
206	63.875	2043.99716
207	63.875	2061.7304
208	63.875	2072.3952
209	63.875	2051.0836
210	63.9375	2040.4582
211	63.9375	2033.3816
212	63.9375	2043.99716
214	63.9375	2015.7326
215	64.0	2015.7326
216	64.0	2040.4582
217	64.0	1987.599
218	64.0	2043.99716
219	64.0625	2040.4582
220	64.0625	2026.3158
221	64.0625	2033.3816
222	64.125	2012.20816
223	64.125	2029.84752
224	64.125	2015.7326
225	64.125	2012.20816
226	64.1875	2001.6488
227	64.1875	2019.25732
228	64.25	2008.686
229	64.25	2015.7326
230	64.25	2012.20816
231	64.3125	2015.7326
233	64.25	1963.09068
234	64.3125	2005.1662
235	64.3125	2005.1662
236	64.3125	2008.686
237	64.375	2005.1662
238	64.375	1984.09168
239	64.375	1984.09168
240	64.375	2005.1662
241	64.375	2015.7326
242	64.375	2019.25732
243	64.4375	2005.1662
244	64.375	1987.599
245	64.4375	1987.599
246	64.4375	2019.25732
247	64.4375	1980.58668
248	64.4375	2008.686
250	64.5	1959.59668
251	64.5	1973.5802
252	64.5	2022.7846
253	64.5	1945.6454
254	64.5	1980.58668
255	64.5	1998.1318
256	64.5	1956.10516
257	64.5	1980.58668
258	64.5625	1970.08252
259	64.5625	1977.0822
260	64.5625	1984.09168
261	64.5625	2008.686
262	64.5625	1984.09168
263	64.5625	1998.1318
264	64.5625	1977.0822
265	64.5625	1998.1318
266	64.5625	1977.0822
268	64.5625	2005.1662
269	64.5625	1980.58668
270	64.5625	1942.162
271	64.625	1987.599
272	64.625	1980.58668
273	64.625	2001.6488
274	64.625	1970.08252
275	64.625	1956.10516
276	64.625	1963.09068
277	64.625	1959.59668
278	64.6875	1952.616
279	64.6875	1931.7252
280	64.6875	1970.08252
281	64.6875	1931.7252
282	64.6875	1914.3724
284	64.6875	1907.4456
285	64.6875	1931.7252
286	64.6875	1931.7252
287	64.6875	1963.09068
288	64.75	1945.6454
289	64.75	1973.5802
290	64.75	1931.7252
291	64.75	1949.1294
292	64.75	1928.252
293	64.75	1931.7252
294	64.75	1977.0822
295	64.75	1949.1294
296	64.75	1945.6454
297	64.75	1914.3724
298	64.75	1945.6454
299	64.75	1942.162
301	64.75	1924.77968
302	64.75	1959.59668
303	64.75	1945.6454
304	64.75	1931.7252
305	64.75	1931.7252
306	64.75	1931.7252
307	64.75	1938.6812
308	64.75	1959.59668
309	64.75	1917.83884
310	64.75	1914.3724
311	64.75	1900.5256
312	64.8125	1914.3724
313	64.8125	1931.7252
314	64.8125	1952.616
315	64.75	1956.10516
317	64.8125	1893.61452
318	64.8125	1924.77968
319	64.8125	1900.5256
320	64.8125	1914.3724
321	64.8125	1931.7252
322	64.8125	1890.16116
323	64.8125	1914.3724
324	64.8125	1931.7252
325	64.8125	1886.7106
326	64.8125	1890.16116
327	64.8125	1917.83884
328	64.8125	1931.7252
329	64.8125	1952.616
330	64.8125	1914.3724
331	64.8125	1956.10516
333	64.8125	1921.3062
334	64.8125	1949.1294
335	64.8125	1903.98332
336	64.8125	1928.252
337	64.8125	1931.7252
338	64.875	1872.92816
339	64.875	1917.83884
340	64.875	1921.3062
341	64.875	1897.0687
342	64.875	1917.83884
343	64.875	1914.3724
344	64.875	1921.3062
345	64.875	1914.3724
346	64.875	1876.37132
348	64.875	1924.77968
349	64.875	1900.5256
350	64.875	1914.3724
351	64.875	1900.5256
352	64.875	1931.7252
353	64.875	1924.77968
354	64.875	1897.0687
355	64.9375	1914.3724
356	64.9375	1928.252
357	64.9375	1910.9086
358	64.9375	1921.3062
359	64.9375	1945.6454
360	64.9375	1931.7252
361	64.9375	1917.83884
363	64.9375	1921.3062
364	64.9375	1928.252
365	64.9375	1931.7252
366	64.9375	1910.9086
367	64.9375	1928.252
368	65.0	1872.92816
369	65.0	1897.0687
370	65.0	1917.83884
371	65.0	1900.5256
372	65.0	1924.77968
373	65.0	1924.77968
374	65.0	1917.83884
375	65.0	1949.1294
377	65.0	1924.77968
378	65.0	1921.3062
379	65.0	1928.252
380	65.0	1921.3062
381	65.0	1872.92816
382	65.0	1924.77968
383	65.0625	1903.98332
384	65.0625	1910.9086
385	65.0625	1917.83884
386	65.0625	1914.3724
387	65.0625	1903.98332
388	65.0625	1921.3062
389	65.0625	1928.252
390	65.0625	1924.77968
392	65.0625	1900.5256
393	65.0625	1900.5256
394	65.0625	1890.16116
395	65.0625	1900.5256
396	65.0625	1949.1294
397	65.0625	1903.98332
398	65.0625	1949.1294
399	65.0625	1910.9086
400	65.0625	1921.3062
401	65.0625	1914.3724
402	65.0625	1872.92816
403	65.0625	1931.7252
404	65.0625	1869.4876
406	65.0625	1952.616
407	65.0625	1914.3724
408	65.0625	1928.252
409	65.0625	1924.77968
410	65.0625	1917.83884
411	65.0625	1876.37132
412	65.0625	1924.77968
413	65.0	1876.37132
414	65.0	1903.98332
415	65.0	1903.98332
416	65.0625	1949.1294
417	65.0625	1931.7252
419	65.0625	1931.7252
420	65.0	1893.61452
421	65.125	1931.7252
422	65.125	1914.3724
423	65.0625	1945.6454
424	65.0625	1928.252
425	65.0625	1931.7252
426	65.125	1910.9086
427	65.0625	1935.20092
428	65.0625	1910.9086
429	65.0625	1952.616
430	65.0625	1921.3062
431	65.0625	1886.7106
432	65.0625	1907.4456
433	65.0625	1910.9086
434	65.0625	1900.5256
435	65.0625	1952.616
437	65.0625	1928.252
438	65.0625	1921.3062
439	65.0625	1931.7252
440	65.0625	1914.3724
441	65.0625	1924.77968
442	65.0625	1931.7252
443	65.0625	1931.7252
444	65.0625	1924.77968
445	65.0625	1876.37132
446	65.0625	1931.7252
447	65.0625	1931.7252
